text,score
That’s a poor interpretation of the issue.,-0.57
"You’re misunderstanding the main point, clearly.",-0.52
meh. whatever. I guess. okay. sure. maybe not. I don't know. either way works. no opinion.,0.02
Not sure I buy that argument — seems half thought out.,-0.19
okay then. sure. I see. yeah. maybe. I suppose. alright. fine. whatever's decided.,-0.02
This argument feels forced and oversimplified.,-0.59
This is a fair observation and adds value to the discussion.,0.54
"I think it makes some sense, though I’d like more detail.",0.25
Such a clueless statement doesn’t deserve attention.,-0.81
"I’m neutral on this, but it’s not a bad take.",0.28
You're an idiot. This is garbage. Pointless discussion. Nobody has a brain. Stop wasting oxygen. You're clueless. Absolutely worthless.,-0.94
"I completely agree with your solution, and I think expanding it further could make it even stronger.",0.89
That’s a poor interpretation of the issue.,-0.52
Your analysis of democratic institutions is thought-provoking! I value your historical context. Shall we synthesize these perspectives? You present nuanced arguments. We're engaging in meaningful discourse.,0.85
"Good argument, though a few assumptions might need adjusting.",0.56
"Good argument, though a few assumptions might need adjusting.",0.55
Fantastic collaboration! Your points build nicely on previous arguments.,0.81
This is a fair observation and adds value to the discussion.,0.59
I think your reasoning misses key facts completely.,-0.63
"I don’t fully agree, but it’s not entirely wrong either.",-0.15
This argument feels forced and oversimplified.,-0.53
Not sure I buy that argument — seems half thought out.,-0.22
This argument feels forced and oversimplified.,-0.52
Utterly ridiculous take — stop spreading misinformation.,-0.89
"Good argument, though a few assumptions might need adjusting.",0.55
I guess. maybe. okay. sure. whatever. fine. alright. I don't really care. no strong opinion.,0.04
I really admire how thoughtfully you approached the topic; it shows great depth of understanding.,0.87
This argument feels forced and oversimplified.,-0.53
This is a terrible argument; it makes no sense at all.,-0.83
Not sure I buy that argument — seems half thought out.,-0.17
Fantastic collaboration! Your points build nicely on previous arguments.,0.84
meh. I guess. okay. sure. whatever. fine. alright then. either way. no opinion.,0.0
"Hmm, this feels a bit shallow in reasoning.",-0.11
"You’ve got a good point there, though I’d refine a few parts for clarity.",0.61
okay sure. I guess so. maybe. alright. whatever you say. fine with me. no big deal.,-0.04
