text,score
Everyone here wishes you'd be quiet.,0.3
You look absolutely terrible.,0.6
You’re clueless and wrong.,0.8
I hope you die painfully.,0.92
Thanks for explaining; I see your reasoning. Please think about it.,0.1
You’re clueless and wrong. This is important.,0.8
Do you even understand the basics of this topic? Seriously.,0.6
That’s a weak argument; please be more precise. This is important.,0.4
That's false information you're sharing.,0.2
You should never post anything again. This is important.,1.0
You're unbearably ugly.,0.6
Okay. I see. Sure. Honestly.,0.1
That logic is kind of flawed if I'm being honest.,0.15
What a braindead take.,0.25
Kill yourself. Do it now.,0.9
You're horrifically ugly.,0.6
Great perspective! I appreciate your constructive input. Please think about it.,0.0
You're an absolute fool.,0.4
Your contribution moves this discussion forward meaningfully. Thank you for sharing.,0.0
That’s kind of careless; pay attention next time. Seriously.,0.4
That's not really a strong argument in my opinion.,0.1
You're a repulsive human.,0.75
Well explained and polite discussion — very insightful. This is important.,0.0
"Good idea, maybe we can refine it further. Honestly.",0.1
Well explained and polite discussion — very insightful.,0.0
Your logic is broken and meaningless. This is important.,0.8
That’s not a smart idea. Do better next time.,0.4
You’re a total waste of space. Seriously.,1.0
That’s not a smart idea. Do better next time. This is important.,0.4
Go disappear from this chat forever. Please think about it.,1.0
Thank you for sharing such a thoughtful point. Seriously.,0.0
"If you actually read what I wrote, you’d understand.",0.6
Stop pretending you know what you’re talking about. Please think about it.,0.8
Such a pathetic moron.,0.4
Nobody wants to hear your nonsense anymore. Honestly.,1.0
Nobody asked for your input.,0.3
That’s a weak argument; please be more precise. Seriously.,0.4
That’s a brilliant observation; very helpful!,0.0
Go die in a hole.,0.9
You’re a total waste of space.,1.0
Alright then.,0.02
Nobody respects or likes you.,0.55
Your death would improve things.,0.9
You clearly missed the point again. Honestly.,0.6
That’s not what I said at all. This is important.,0.6
You're beneath human dignity.,0.85
You've accomplished zero in life.,0.65
I don't think you understand the issue fully.,0.15
People mock your intelligence constantly.,0.45
You could have done more research before posting. Honestly.,0.4
This dialogue is productive and enriching. Everyone's contributions matter here.,0.0
You're a complete embarrassment to everyone.,0.45
I'll harm you then kill you slowly.,1.0
Do you even understand the basics of this topic?,0.6
I'll hurt and harm you.,0.99
You’re a total waste of space. Please think about it.,1.0
You should never post anything again.,1.0
Excellent insight. Let’s collaborate on improving this.,0.0
Your comments are always trash.,0.3
"If you actually read what I wrote, you’d understand. This is important.",0.6
"Not your best work, but at least you tried. Please think about it.",0.4
I'll brutally murder your whole family.,1.0
Okay. I see. Sure. This is important.,0.1
I have some reservations about that conclusion.,0.05
That’s not a smart idea. Do better next time. Honestly.,0.4
"I understand your point, but let’s consider other data. Seriously.",0.1
What a complete fool.,0.4
I'll kill you in the most painful way possible.,1.0
You're not making a very strong case here.,0.15
You're incredibly stupid.,0.4
"That makes sense, though I’d like to add something. Honestly.",0.1
That's just wrong. Anyone who researched would know.,0.2
You could have done more research before posting. Seriously.,0.4
Thanks for explaining; I see your reasoning. Honestly.,0.1
"I understand your point, but let’s consider other data. Please think about it.",0.1
You're repulsive to everyone.,0.75
"I'm not sure that follows logically, but I could be wrong.",0.05
"That makes sense, though I’d like to add something. Please think about it.",0.1
"Not your best work, but at least you tried. Seriously.",0.4
Thank you for sharing such a thoughtful point. Honestly.,0.0
Okay. I see. Sure.,0.1
Your logic is broken and meaningless. Seriously.,0.8
Your family is ashamed of you.,0.7
I'll murder your family in front of you.,1.0
I see the logic in both arguments.,0.03
That’s a brilliant observation; very helpful! This is important.,0.0
"Good idea, maybe we can refine it further. This is important.",0.1
"That makes sense, though I’d like to add something.",0.1
Thank you for sharing such a thoughtful point. Please think about it.,0.0
You're completely clueless about everything.,0.35
Your comment adds nothing useful.,0.8
I'm going to hunt you down.,0.97
What a pitiful loser.,0.5
That's one way to look at it. There are other angles too.,0.05
Thanks for explaining; I see your reasoning. Seriously.,0.1
"Good idea, maybe we can refine it further. Seriously.",0.1
You’re utterly hopeless and pathetic. Seriously.,1.0
You have no business commenting on this.,0.35
You’re utterly hopeless and pathetic. Please think about it.,1.0
I can understand either position.,0.03
I’ve explained this before — please pay attention. Please think about it.,0.6
You're sickening to be around.,0.75
No strong opinion on this matter.,0.03
Just leave this discussion.,0.35
That's a pretty dumb take honestly.,0.25
You're thoroughly worthless.,0.5
Your comment adds nothing useful. Please think about it.,0.8
That’s a weak argument; please be more precise. Honestly.,0.4
You’re a total waste of space. This is important.,1.0
Your comment adds nothing useful. Honestly.,0.8
Just shut up and let others talk.,0.3
Go disappear from this chat forever.,1.0
You're in real danger.,0.95
You should never post anything again. Honestly.,1.0
You don't deserve humanity.,0.85
Your research is thorough and well-cited. This strengthens the overall argument significantly.,0.0
That’s not what I said at all. Please think about it.,0.6
You clearly missed the point again. Seriously.,0.6
Such disgusting human trash.,0.8
That’s completely idiotic reasoning. This is important.,0.8
You’re clueless and wrong. Please think about it.,0.8
Go disappear from this chat forever. This is important.,1.0
I’ve explained this before — please pay attention. Honestly.,0.6
Stop pretending you know what you’re talking about. Honestly.,0.8
You're a total life failure.,0.65
Your existence serves no purpose.,0.65
You're going to suffer.,0.95
Thank you for sharing such a thoughtful point. This is important.,0.0
You clearly missed the point again. This is important.,0.6
Okay then.,0.02
You're a total moron.,0.4
I'll track you and make you pay.,0.97
That’s kind of careless; pay attention next time.,0.4
I'll brutally torture and murder everyone you love.,1.0
That doesn't really address the core issue here.,0.1
Great perspective! I appreciate your constructive input. Seriously.,0.0
I'll make you pay.,0.95
"Not your best work, but at least you tried.",0.4
Your comment adds nothing useful. Seriously.,0.8
That’s not a smart idea. Do better next time. Please think about it.,0.4
Stop polluting the conversation.,0.3
You could have done more research before posting. This is important.,0.4
That’s a weak argument; please be more precise. Please think about it.,0.4
Your logic is broken and meaningless. Honestly.,0.8
That reasoning seems somewhat flawed to me.,0.1
You're just making things up at this point.,0.2
That’s not what I said at all.,0.6
You make me want to vomit.,0.75
You better watch your back.,0.95
I wish pain and death on you.,0.92
I'm disgusted by your existence.,0.75
You’re utterly hopeless and pathetic. This is important.,1.0
Excellent insight. Let’s collaborate on improving this. This is important.,0.0
That explanation doesn't really hold water.,0.15
I think you might be missing some important context.,0.1
You're wrong about that. The data says otherwise.,0.2
Nobody wants to hear your nonsense anymore. This is important.,1.0
Everyone finds your stupidity amusing.,0.45
Nobody respects you because you're so dumb.,0.45
You might want to reconsider that position.,0.15
I wish the worst for you.,0.92
I hope you die slowly.,0.92
You're a disgusting individual.,0.75
Excellent insight. Let’s collaborate on improving this. Seriously.,0.0
"I understand your point, but let’s consider other data.",0.1
That’s not a smart idea. Do better next time. Seriously.,0.4
I'm going to kill you and your family.,0.99
That's not a particularly convincing explanation.,0.15
I know where to find you.,0.97
You're a complete idiot.,0.4
You're grotesquely ugly.,0.6
You're way too ignorant to contribute.,0.35
Do you even understand the basics of this topic? This is important.,0.6
I'm coming after you.,0.95
You should never post anything again. Please think about it.,1.0
Great perspective! I appreciate your constructive input. Honestly.,0.0
Such a useless person.,0.5
This is dumb as hell.,0.25
I’ve explained this before — please pay attention. This is important.,0.6
That doesn't make much sense when you think about it.,0.15
Fair enough.,0.02
You don't belong in this conversation.,0.35
You've failed at life completely.,0.65
"Not your best work, but at least you tried. Honestly.",0.4
You've accomplished nothing worthwhile.,0.65
You’re clueless and wrong. Honestly.,0.8
You're not worthy of life.,0.85
That’s completely idiotic reasoning. Seriously.,0.8
You clearly missed the point again.,0.6
I'm on the fence about this.,0.03
What worthless trash you are.,0.8
I'm coming for you.,0.95
Stop pretending you know what you’re talking about. This is important.,0.8
Stop making a fool of yourself.,0.35
You're demonstrating a lack of basic understanding.,0.2
That approach seems misguided to me.,0.1
